date	observers	sample-location	group	tree	latitude	longitude	tree-type	tree-species	circumference_cm	dbh_cm	tree-density	coverage-north	coverage-east	coverage-south	coverage-west	coverage-total	air-quality-index	bark-dry-time	bark-soak-time	bark-ph	comments
2024-04-01	lastname/lastname	A	grp-1	1	42.986736	-71.501261	coniferous	Douglas Fir		27.5	forested-area	6	1	2	3	12	9			4	
2024-04-01	lastname/lastname	A	grp-1	2	42.986321	-71.498919	coniferous	Douglas Fir		42	forested-area	5	0	3	16	24	9			4	
2024-04-01	lastname/lastname	A	grp-1	3	42.986013	-71.5	coniferous	Douglas Fir		59	forested-area	60	6	0	12	78	9			4	
2024-04-01	lastname/lastname	A	grp-1	4	42.986524	-71.502487	coniferous	Douglas Fir		215.5	forested-area	72	31	0	1	104	9			3	
2024-04-01	lastname/lastname	A	grp-1	5	42.986788	-71.501673	coniferous	Douglas Fir		30.5	forested-area	4	1	0	0	5	9			4	
2024-04-01	lastname/lastname	B	grp-1	1	42.981495	-71.511264	deciduous	Quercus phellos		63.2	small-group	20	13	35	21	89	6			5	
2024-04-01	lastname/lastname	B	grp-1	2	42.981011	-71.509864	deciduous	Acer floridanum		30.36	free-standing	5	62	74	56	197	6			7	
2024-04-01	lastname/lastname	B	grp-1	3	42.981665	-71.511285	deciduous	European Aspen		34.97	free-standing	14	13	7	4	38	3			7	
2024-04-01	lastname/lastname	B	grp-1	4	42.981554	-71.512172	deciduous	Franxinus americana		23.4	small-group	55	18	30	25	128	6			6	
2024-04-01	lastname/lastname	B	grp-1	5	42.980779	-71.511451	deciduous	Quercus bicolor		23.1	free-standing	12	28	46	28	114	6			5	
2024-04-01	lastname/lastname	C	grp-1	1	42.981581	-71.50724	deciduous	Northern Maple		47.2	forested-area	3	12	28	19	62	6			8	
2024-04-01	lastname/lastname	C	grp-1	2	42.981126	-71.507837	deciduous	Quercus		71.6	forested-area	10	19	41	14	84	6			7	
2024-04-01	lastname/lastname	C	grp-1	3	42.980671	-71.507607	coniferous	Red pine		49.5	forested-area	12	6	4	7	29	6			3	
2024-04-01	lastname/lastname	C	grp-1	4	42.98016	-71.507836	coniferous	white pine		150.36	forested-area	50	60	66	33	209	3			4	
2024-04-01	lastname/lastname	C	grp-1	5	42.980235	-71.507417	deciduous	white ash		76	forested-area	0	25	75	0	100	6			7	
2024-04-01	lastname/lastname	D	grp-1	1	42.985773	-71.512048	coniferous	pine		52.47	small-group	17	49	23	43	132	6			3	
2024-04-01	lastname/lastname	D	grp-1	2	42.985087	-71.512624	coniferous	pine		38.81	small-group	3	13	3	27	46	6			4	
2024-04-01	lastname/lastname	D	grp-1	3	42.985709	-71.511625	deciduous	oak		62.2	free-standing	44	41	37	45	167	9			7	
2024-04-01	lastname/lastname	D	grp-1	4	42.985333	-71.512295	deciduous	maple		76.1	free-standing	0	31	83	27	141	6			8	
2024-04-01	lastname/lastname	D	grp-1	5	42.984398	-71.515129	deciduous	beech		29.1	small-group	15	19	15	40	89	6			5	